datum,location_id,pretocnost,day_of_week,dela_prost_dan,month,pretocnost_7d
2023-04-05,0,5,2,False,4,20.142857142857142
2023-04-06,0,12,3,False,4,20.714285714285715
2023-04-07,0,13,4,False,4,22.428571428571427
2023-04-08,0,9,5,False,4,14.857142857142858
2023-04-09,0,17,6,True,4,9.428571428571429
2023-04-10,0,160,0,True,4,31.571428571428573
2023-04-11,0,0,1,False,4,30.857142857142858
2023-04-12,0,17,2,False,4,32.57142857142857
2023-04-13,0,0,3,False,4,30.857142857142858
2023-04-14,0,1,4,False,4,29.142857142857142
2023-04-15,0,10,5,False,4,29.285714285714285
2023-04-16,0,10,6,False,4,28.285714285714285
2023-04-17,0,4,0,False,4,6.0
2023-04-18,0,3,1,False,4,6.428571428571429
2023-04-19,0,36,2,False,4,9.142857142857142
2023-04-20,0,3,3,False,4,9.571428571428571
2023-04-21,0,15,4,False,4,11.571428571428571
2023-04-22,0,41,5,False,4,16.0
2023-04-23,0,108,6,False,4,30.0
2023-04-24,0,0,0,False,4,29.428571428571427
2023-04-25,0,1,1,False,4,29.142857142857142
2023-04-26,0,16,2,False,4,26.285714285714285
2023-04-27,0,118,3,True,4,42.714285714285715
2023-04-28,0,31,4,False,4,45.0
2023-04-29,0,103,5,False,4,53.857142857142854
2023-04-30,0,47,6,False,4,45.142857142857146
2023-05-01,0,153,0,True,5,67.0
2023-05-02,0,4,1,True,5,67.42857142857143
2023-05-03,0,0,2,False,5,65.14285714285714
2023-05-04,0,17,3,False,5,50.714285714285715
2023-05-05,0,17,4,False,5,48.714285714285715
2023-05-06,0,47,5,False,5,40.714285714285715
2023-05-07,0,57,6,False,5,42.142857142857146
2023-05-08,0,1,0,False,5,20.428571428571427
2023-05-09,0,7,1,False,5,20.857142857142858
2023-05-10,0,4,2,False,5,21.428571428571427
2023-05-11,0,2,3,False,5,19.285714285714285
2023-05-12,0,38,4,False,5,22.285714285714285
2023-05-13,0,23,5,False,5,18.857142857142858
2023-05-14,0,4,6,False,5,11.285714285714286
2023-05-15,0,9,0,False,5,12.428571428571429
2023-05-16,0,0,1,False,5,11.428571428571429
2023-05-17,0,5,2,False,5,11.571428571428571
2023-05-18,0,0,3,False,5,11.285714285714286
2023-05-19,0,8,4,False,5,7.0
2023-05-20,0,6,5,False,5,4.571428571428571
2023-05-21,0,72,6,False,5,14.285714285714286
2023-05-22,0,2,0,False,5,13.285714285714286
2023-05-23,0,21,1,False,5,16.285714285714285
2023-05-24,0,1,2,False,5,15.714285714285714
2023-05-25,0,1,3,False,5,15.857142857142858
2023-05-26,0,7,4,False,5,15.714285714285714
2023-05-27,0,106,5,False,5,30.0
2023-05-28,0,57,6,True,5,27.857142857142858
2023-05-29,0,3,0,False,5,28.0
2023-05-30,0,2,1,False,5,25.285714285714285
2023-05-31,0,2,2,False,5,25.428571428571427
2023-06-01,0,71,3,False,6,35.42857142857143
2023-06-02,0,14,4,False,6,36.42857142857143
2023-06-03,0,53,5,False,6,28.857142857142858
2023-06-04,0,151,6,False,6,42.285714285714285
2023-06-05,0,0,0,False,6,41.857142857142854
2023-06-06,0,4,1,False,6,42.142857142857146
2023-06-07,0,12,2,False,6,43.57142857142857
2023-06-08,0,5,3,False,6,34.142857142857146
2023-06-09,0,13,4,False,6,34.0
2023-06-10,0,144,5,False,6,47.0
2023-06-11,0,537,6,False,6,102.14285714285714
2023-06-12,0,99,0,False,6,116.28571428571429
2023-06-13,0,41,1,False,6,121.57142857142857
2023-06-14,0,29,2,False,6,124.0
2023-06-15,0,133,3,False,6,142.28571428571428
2023-06-16,0,302,4,False,6,183.57142857142858
2023-06-17,0,150,5,False,6,184.42857142857142
2023-06-18,0,628,6,False,6,197.42857142857142
2023-06-19,0,1228,0,False,6,358.7142857142857
2023-06-20,0,1622,1,False,6,584.5714285714286
2023-06-21,0,542,2,False,6,657.8571428571429
2023-06-22,0,1815,3,False,6,898.1428571428571
2023-06-23,0,3559,4,False,6,1363.4285714285713
2023-06-24,0,345,5,False,6,1391.2857142857142
2023-06-25,0,209,6,True,6,1331.4285714285713
2023-06-26,0,67,0,False,6,1165.5714285714287
2023-06-27,0,853,1,False,6,1055.7142857142858
2023-06-28,0,570,2,False,6,1059.7142857142858
2023-06-29,0,60,3,False,6,809.0
2023-06-30,0,384,4,False,6,355.42857142857144
2023-07-01,0,644,5,False,7,398.14285714285717
2023-07-02,0,295,6,False,7,410.42857142857144
2023-07-03,0,42,0,False,7,406.85714285714283
2023-07-04,0,19,1,False,7,287.7142857142857
2023-07-05,0,28,2,False,7,210.28571428571428
2023-07-06,0,25,3,False,7,205.28571428571428
2023-07-07,0,35,4,False,7,155.42857142857142
2023-07-08,0,78,5,False,7,74.57142857142857
2023-07-09,0,185,6,False,7,58.857142857142854
2023-07-10,0,17,0,False,7,55.285714285714285
2023-07-11,0,14,1,False,7,54.57142857142857
2023-07-12,0,1904,2,False,7,322.57142857142856
2023-07-13,0,169,3,False,7,343.14285714285717
2023-07-14,0,18,4,False,7,340.7142857142857
2023-07-15,0,83,5,False,7,341.42857142857144
2023-07-16,0,216,6,False,7,345.85714285714283
2023-07-17,0,6,0,False,7,344.2857142857143
2023-07-18,0,96,1,False,7,356.0
2023-07-19,0,32,2,False,7,88.57142857142857
2023-07-20,0,189,3,False,7,91.42857142857143
2023-07-21,0,186,4,False,7,115.42857142857143
2023-07-22,0,28,5,False,7,107.57142857142857
2023-07-23,0,192,6,False,7,104.14285714285714
2023-07-24,0,46,0,False,7,109.85714285714286
2023-07-25,0,28,1,False,7,100.14285714285714
2023-07-26,0,13,2,False,7,97.42857142857143
2023-07-27,0,63,3,False,7,79.42857142857143
2023-07-28,0,231,4,False,7,85.85714285714286
2023-07-29,0,145,5,False,7,102.57142857142857
2023-07-30,0,26,6,False,7,78.85714285714286
2023-07-31,0,29,0,False,7,76.42857142857143
2023-08-01,0,43,1,False,8,78.57142857142857
2023-08-02,0,45,2,False,8,83.14285714285714
2023-08-03,0,54,3,False,8,81.85714285714286
2023-08-04,0,18,4,False,8,51.42857142857143
2023-08-05,0,25,5,False,8,34.285714285714285
2023-08-06,0,26,6,False,8,34.285714285714285
2023-08-07,0,9,0,False,8,31.428571428571427
2023-08-08,0,32,1,False,8,29.857142857142858
2023-08-09,0,7,2,False,8,24.428571428571427
2023-08-10,0,19,3,False,8,19.428571428571427
2023-08-11,0,31,4,False,8,21.285714285714285
2023-08-12,0,115,5,False,8,34.142857142857146
2023-08-13,0,136,6,False,8,49.857142857142854
2023-08-14,0,67,0,False,8,58.142857142857146
2023-08-15,0,346,1,True,8,103.0
2023-08-16,0,69,2,False,8,111.85714285714286
2023-08-17,0,35,3,False,8,114.14285714285714
2023-08-18,0,44,4,False,8,116.0
2023-08-19,0,76,5,False,8,110.42857142857143
2023-08-20,0,167,6,False,8,114.85714285714286
2023-08-21,0,17,0,False,8,107.71428571428571
2023-08-22,0,32,1,False,8,62.857142857142854
2023-08-23,0,26,2,False,8,56.714285714285715
2023-08-24,0,28,3,False,8,55.714285714285715
2023-08-25,0,41,4,False,8,55.285714285714285
2023-08-26,0,91,5,False,8,57.42857142857143
2023-08-27,0,734,6,False,8,138.42857142857142
2023-08-28,0,13,0,False,8,137.85714285714286
2023-08-29,0,2,1,False,8,133.57142857142858
2023-08-30,0,0,2,False,8,129.85714285714286
2023-08-31,0,12,3,False,8,127.57142857142857
2023-09-01,0,385,4,False,9,176.71428571428572
2023-09-02,0,140,5,False,9,183.71428571428572
2023-09-03,0,256,6,False,9,115.42857142857143
2023-09-04,0,19,0,False,9,116.28571428571429
2023-09-05,0,29,1,False,9,120.14285714285714
2023-09-06,0,15,2,False,9,122.28571428571429
2023-09-07,0,14,3,False,9,122.57142857142857
2023-09-08,0,13,4,False,9,69.42857142857143
2023-09-09,0,169,5,False,9,73.57142857142857
2023-09-10,0,292,6,False,9,78.71428571428571
2023-09-11,0,19,0,False,9,78.71428571428571
2023-09-12,0,57,1,False,9,82.71428571428571
2023-09-13,0,289,2,False,9,121.85714285714286
2023-09-14,0,3,3,False,9,120.28571428571429
2023-09-15,0,10,4,False,9,119.85714285714286
2023-09-16,0,206,5,False,9,125.14285714285714
2023-09-17,0,332,6,False,9,130.85714285714286
2023-09-18,0,50,0,False,9,135.28571428571428
2023-09-19,0,17,1,False,9,129.57142857142858
2023-09-20,0,50,2,False,9,95.42857142857143
2023-09-21,0,19,3,False,9,97.71428571428571
2023-09-22,0,27,4,False,9,100.14285714285714
2023-09-23,0,0,5,False,9,70.71428571428571
2023-09-24,0,12,6,False,9,25.0
2023-09-25,0,0,0,False,9,17.857142857142858
2023-09-26,0,19,1,False,9,18.142857142857142
2023-09-27,0,17,2,False,9,13.428571428571429
2023-09-28,0,53,3,False,9,18.285714285714285
2023-09-29,0,38,4,False,9,19.857142857142858
2023-09-30,0,113,5,False,9,36.0
2023-10-01,0,267,6,False,10,72.42857142857143
2023-10-02,0,4,0,False,10,73.0
2023-10-03,0,230,1,False,10,103.14285714285714
2023-10-04,0,47,2,False,10,107.42857142857143
2023-10-05,0,17,3,False,10,102.28571428571429
2023-10-06,0,24,4,False,10,100.28571428571429
2023-10-07,0,172,5,False,10,108.71428571428571
2023-10-08,0,276,6,False,10,110.0
2023-10-09,0,28,0,False,10,113.42857142857143
2023-10-10,0,25,1,False,10,84.14285714285714
2023-10-11,0,25,2,False,10,81.0
2023-10-12,0,25,3,False,10,82.14285714285714
2023-10-13,0,749,4,False,10,185.71428571428572
2023-10-14,0,1466,5,False,10,370.57142857142856
2023-10-15,0,9,6,False,10,332.42857142857144
2023-10-16,0,8,0,False,10,329.57142857142856
2023-10-17,0,15,1,False,10,328.14285714285717
2023-10-18,0,10,2,False,10,326.0
2023-10-19,0,24,3,False,10,325.85714285714283
2023-10-20,0,4083,4,False,10,802.1428571428571
2023-10-21,0,19,5,False,10,595.4285714285714
2023-10-22,0,105,6,False,10,609.1428571428571
2023-10-23,0,10,0,False,10,609.4285714285714
2023-10-24,0,7,1,False,10,608.2857142857143
2023-10-25,0,3,2,False,10,607.2857142857143
2023-10-26,0,8,3,False,10,605.0
2023-10-27,0,1,4,False,10,21.857142857142858
2023-10-28,0,53,5,False,10,26.714285714285715
2023-10-29,0,138,6,False,10,31.428571428571427
2023-10-30,0,22,0,False,10,33.142857142857146
2023-10-31,0,3,1,True,10,32.57142857142857
2023-11-01,0,84,2,True,11,44.142857142857146
2023-11-02,0,24,3,False,11,46.42857142857143
2023-11-03,0,4,4,False,11,46.857142857142854
2023-11-04,0,45,5,False,11,45.714285714285715
2023-11-05,0,22,6,False,11,29.142857142857142
2023-11-06,0,5,0,False,11,26.714285714285715
2023-11-07,0,2,1,False,11,26.571428571428573
2023-11-08,0,14,2,False,11,16.571428571428573
2023-11-09,0,14,3,False,11,15.142857142857142
2023-11-10,0,2,4,False,11,14.857142857142858
2023-11-11,0,43,5,False,11,14.571428571428571
2023-11-12,0,111,6,False,11,27.285714285714285
2023-11-13,0,0,0,False,11,26.571428571428573
2023-11-14,0,2,1,False,11,26.571428571428573
2023-11-15,0,18,2,False,11,27.142857142857142
2023-11-16,0,11,3,False,11,26.714285714285715
2023-11-17,0,7,4,False,11,27.428571428571427
2023-11-18,0,131,5,False,11,40.0
2023-11-19,0,120,6,False,11,41.285714285714285
2023-11-20,0,12,0,False,11,43.0
2023-11-21,0,0,1,False,11,42.714285714285715
2023-11-22,0,4,2,False,11,40.714285714285715
2023-11-23,0,12,3,False,11,40.857142857142854
2023-11-24,0,11,4,False,11,41.42857142857143
2023-11-25,0,39,5,False,11,28.285714285714285
2023-11-26,0,83,6,False,11,23.0
2023-11-27,0,4,0,False,11,21.857142857142858
2023-11-28,0,2,1,False,11,22.142857142857142
2023-11-29,0,9,2,False,11,22.857142857142858
2023-11-30,0,1,3,False,11,21.285714285714285
2023-12-01,0,1,4,False,12,19.857142857142858
2023-12-02,0,3,5,False,12,14.714285714285714
2023-12-03,0,65,6,False,12,12.142857142857142
2023-12-04,0,7,0,False,12,12.571428571428571
2023-12-05,0,9,1,False,12,13.571428571428571
2023-12-06,0,3,2,False,12,12.714285714285714
2023-12-07,0,12,3,False,12,14.285714285714286
2023-12-08,0,3,4,False,12,14.571428571428571
2023-12-09,0,24,5,False,12,17.571428571428573
2023-12-10,0,75,6,False,12,19.0
2023-12-11,0,2,0,False,12,18.285714285714285
2023-12-12,0,2,1,False,12,17.285714285714285
2023-12-13,0,0,2,False,12,16.857142857142858
2023-12-14,0,4,3,False,12,15.714285714285714
2023-12-15,0,8,4,False,12,16.428571428571427
2023-12-16,0,35,5,False,12,18.0
2023-12-17,0,71,6,False,12,17.428571428571427
2023-12-18,0,13,0,False,12,19.0
2023-12-19,0,5,1,False,12,19.428571428571427
2023-12-20,0,11,2,False,12,21.0
2023-12-21,0,0,3,False,12,20.428571428571427
2023-12-22,0,1,4,False,12,19.428571428571427
2023-12-23,0,55,5,False,12,22.285714285714285
2023-12-24,0,56,6,False,12,20.142857142857142
2023-12-25,0,10,0,True,12,19.714285714285715
2023-12-26,0,153,1,True,12,40.857142857142854
2023-12-27,0,53,2,False,12,46.857142857142854
2023-12-28,0,36,3,False,12,52.0
2023-12-29,0,76,4,False,12,62.714285714285715
2023-12-30,0,33,5,False,12,59.57142857142857
2023-12-31,0,26,6,False,12,55.285714285714285
2024-01-01,0,28,0,True,1,57.857142857142854
2024-01-02,0,375,1,True,1,89.57142857142857
2024-01-03,0,1,2,False,1,82.14285714285714
2024-01-04,0,22,3,False,1,80.14285714285714
2024-01-05,0,7,4,False,1,70.28571428571429
2024-01-06,0,1,5,False,1,65.71428571428571
2024-01-07,0,11,6,False,1,63.57142857142857
2024-01-08,0,2,0,False,1,59.857142857142854
2024-01-09,0,7,1,False,1,7.285714285714286
