"datum","vhodi","izhodi"
"2023-11-19","156","156"
"2023-11-20","31","4"
"2023-11-21","0","0"
"2023-11-22","7","8"
"2023-11-23","10","8"
"2023-11-24","46","52"
"2023-11-25","36","41"
"2023-11-26","56","49"
"2023-11-27","190","250"
"2023-11-28","300","372"
"2023-11-29","524","510"
"2023-11-30","2443","2155"
"2023-12-01","196","257"
"2023-12-02","110","140"
"2023-12-03","0","2"
"2023-12-04","3","5"
"2023-12-05","701","848"
"2023-12-06","172","110"
"2023-12-07","64","60"
"2023-12-08","0","1"
"2023-12-09","240","390"
"2023-12-10","1241","1150"
"2023-12-11","390","403"
"2023-12-12","83","101"
"2023-12-13","2","3"
"2023-12-14","0","0"
"2023-12-15","1","0"
"2023-12-16","0","0"
"2023-12-17","48","60"
"2023-12-18","0","0"
"2023-12-19","0","0"
"2023-12-20","0","0"
"2023-12-21","2","1"
"2023-12-22","4","5"
"2023-12-23","38","39"
"2023-12-24","0","0"
"2023-12-25","1","10"
"2023-12-26","3","5"
"2023-12-27","0","8"
"2023-12-28","0","2"
"2023-12-29","4","5"
"2023-12-30","8","7"
"2023-12-31","620","648"
"2024-01-01","153","101"
"2024-01-02","2418","2621"
"2024-01-03","1484","1910"
"2024-01-04","8","2"
"2024-01-05","23","24"
"2024-01-06","39","46"
"2024-01-07","1","0"
"2024-01-08","0","0"
"2024-01-09","0","0"
"2024-01-10","0","0"
"2024-01-11","0","0"
"2024-01-12","3","0"
"2024-01-13","64","70"
"2024-01-14","1","0"
"2024-01-15","0","0"
"2024-01-16","0","1"
"2024-01-17","2155","2552"
"2024-01-18","655","774"
"2024-01-19","48","42"
"2024-01-20","0","0"
"2024-01-21","2","2"
"2024-01-22","0","1"
"2024-01-23","1","0"
"2024-01-24","0","0"
"2024-01-25","0","2"
"2024-01-26","0","0"
"2024-01-27","0","1"
"2024-01-28","0","0"
"2024-01-29","0","0"
"2024-01-30","0","0"
"2024-01-31","0","1"
"2024-02-01","0","0"
"2024-02-02","0","0"
"2024-02-03","2","10"
"2024-02-04","3","3"
"2024-02-05","0","1"
"2024-02-06","1","1"
"2024-02-07","0","0"
"2024-02-08","21","22"
"2024-02-09","1063","1119"
"2024-02-10","419","471"
"2024-02-11","0","0"
"2024-02-12","0","4"
"2024-02-13","0","0"
"2024-02-14","0","0"
"2024-02-15","2","4"
"2024-02-16","1","2"
"2024-02-17","3","2"
"2024-02-18","2","2"
"2024-02-19","0","0"
"2024-02-20","3","2"
"2024-02-21","0","0"
"2024-02-22","1962","2145"
"2024-02-23","400","461"
"2024-02-24","27","38"
"2024-02-25","4","9"
"2024-02-26","2","4"
"2024-02-27","0","0"
"2024-02-28","2","4"
"2024-02-29","0","0"
